"","a1_b1","a1_b2","a2_b1","a2_b2","n","sd","f_a","f_b","f_ab","pwr_a","pwr_b","pwr_ab"
"98",1.8,1.6,0,0,10,0.5,1.79195734076208,0.105409255338946,0.105409255338946,100,9.44388512559688,9.44388512559688
"99",2,1.6,0,0,10,0.5,1.89736659610103,0.210818510677892,0.210818510677892,100,23.3814772917958,23.3814772917958
"100",0,1.8,0,0,10,0.5,0.948683298050513,0.948683298050514,0.948683298050514,99.9824909814139,99.9824909814139,99.9824909814139
"101",0.2,1.8,0,0,10,0.5,1.05409255338946,0.843274042711568,0.843274042711567,99.9985996996167,99.8465715863566,99.8465715863566
"102",0.4,1.8,0,0,10,0.5,1.15950180872841,0.737864787372622,0.737864787372622,99.9999218432618,99.0520776507534,99.0520776507534
"103",0.6,1.8,0,0,10,0.5,1.26491106406735,0.632455532033676,0.632455532033676,99.9999969649224,95.8338575994181,95.833857599418
"104",0.8,1.8,0,0,10,0.5,1.3703203194063,0.52704627669473,0.52704627669473,99.9999999182096,86.7984282757758,86.7984282757758
"105",1,1.8,0,0,10,0.5,1.47572957474524,0.421637021355784,0.421637021355784,99.999999998475,69.214061859491,69.214061859491
"106",1.2,1.8,0,0,10,0.5,1.58113883008419,0.316227766016838,0.316227766016838,99.9999999999804,45.4976890622468,45.4976890622469
"107",1.4,1.8,0,0,10,0.5,1.68654808542314,0.210818510677892,0.210818510677892,99.9999999999998,23.3814772917958,23.3814772917958
"108",1.6,1.8,0,0,10,0.5,1.79195734076208,0.105409255338946,0.105409255338946,100,9.44388512559688,9.44388512559688
"109",1.8,1.8,0,0,10,0.5,1.89736659610103,0,0,100,5,5
"110",2,1.8,0,0,10,0.5,2.00277585143997,0.105409255338946,0.105409255338946,100,9.44388512559688,9.44388512559688
"111",0,2,0,0,10,0.5,1.05409255338946,1.05409255338946,1.05409255338946,99.9985996996167,99.9985996996167,99.9985996996167
"112",0.2,2,0,0,10,0.5,1.15950180872841,0.948683298050514,0.948683298050514,99.9999218432618,99.9824909814139,99.9824909814139
"113",0.4,2,0,0,10,0.5,1.26491106406735,0.843274042711568,0.843274042711568,99.9999969649224,99.8465715863566,99.8465715863566
"114",0.6,2,0,0,10,0.5,1.3703203194063,0.737864787372622,0.737864787372622,99.9999999182096,99.0520776507534,99.0520776507534
"115",0.8,2,0,0,10,0.5,1.47572957474524,0.632455532033676,0.632455532033676,99.999999998475,95.833857599418,95.833857599418
"116",1,2,0,0,10,0.5,1.58113883008419,0.52704627669473,0.52704627669473,99.9999999999804,86.7984282757759,86.7984282757758
"117",1.2,2,0,0,10,0.5,1.68654808542314,0.421637021355784,0.421637021355784,99.9999999999998,69.2140618594909,69.214061859491
"118",1.4,2,0,0,10,0.5,1.79195734076208,0.316227766016838,0.316227766016838,100,45.4976890622468,45.4976890622469
